template;asset_path;filename;category;action;variant;brief_fr;used_in_files;used_in_count
Lounge-1.0.0;Lounge-1.0.0/apple-touch-icon.png;apple-touch-icon.png;branding;optionnel;base;Logo, favicon ou icone de marque. A refaire seulement si tu veux aussi rebrander cet element.;Lounge-1.0.0/index.html | Lounge-1.0.0/styles.html;2
Lounge-1.0.0;Lounge-1.0.0/favicon-16x16.png;favicon-16x16.png;branding;optionnel;16x16;Logo, favicon ou icone de marque. A refaire seulement si tu veux aussi rebrander cet element.;Lounge-1.0.0/index.html | Lounge-1.0.0/styles.html;2
Lounge-1.0.0;Lounge-1.0.0/favicon-32x32.png;favicon-32x32.png;branding;optionnel;32x32;Logo, favicon ou icone de marque. A refaire seulement si tu veux aussi rebrander cet element.;Lounge-1.0.0/index.html | Lounge-1.0.0/styles.html;2
Lounge-1.0.0;Lounge-1.0.0/images/about-pic-primary.jpg;about-pic-primary.jpg;a-propos;a_regenerer;base;Photo section a propos montrant interieur, equipe ou scene de marque.;Lounge-1.0.0/index.html;2
Lounge-1.0.0;Lounge-1.0.0/images/about-pic-primary@2x.jpg;about-pic-primary@2x.jpg;a-propos;a_regenerer;retina_2x;Version retina x2 du meme visuel. Garder le meme cadrage que la version de base, en plus haute resolution.;Lounge-1.0.0/index.html;1
Lounge-1.0.0;Lounge-1.0.0/images/avatars/user-01.jpg;user-01.jpg;portrait;a_regenerer;base;Portrait photo de portrait equipe, chef ou client.;Lounge-1.0.0/index.html;1
Lounge-1.0.0;Lounge-1.0.0/images/avatars/user-02.jpg;user-02.jpg;portrait;a_regenerer;base;Portrait photo de portrait equipe, chef ou client.;Lounge-1.0.0/index.html;1
Lounge-1.0.0;Lounge-1.0.0/images/avatars/user-03.jpg;user-03.jpg;portrait;a_regenerer;base;Portrait photo de portrait equipe, chef ou client.;Lounge-1.0.0/index.html;1
Lounge-1.0.0;Lounge-1.0.0/images/avatars/user-06.jpg;user-06.jpg;portrait;a_regenerer;base;Portrait photo de portrait equipe, chef ou client.;Lounge-1.0.0/index.html;1
Lounge-1.0.0;Lounge-1.0.0/images/gallery/gallery-01.jpg;gallery-01.jpg;galerie;a_regenerer;base;Photo de galerie montrant ambiance, salle, detail ou plat pour galerie.;Lounge-1.0.0/index.html;2
Lounge-1.0.0;Lounge-1.0.0/images/gallery/gallery-01@2x.jpg;gallery-01@2x.jpg;galerie;a_regenerer;retina_2x;Version retina x2 du meme visuel. Garder le meme cadrage que la version de base, en plus haute resolution.;Lounge-1.0.0/index.html;1
Lounge-1.0.0;Lounge-1.0.0/images/gallery/gallery-02.jpg;gallery-02.jpg;galerie;a_regenerer;base;Photo de galerie montrant ambiance, salle, detail ou plat pour galerie.;Lounge-1.0.0/index.html;2
Lounge-1.0.0;Lounge-1.0.0/images/gallery/gallery-02@2x.jpg;gallery-02@2x.jpg;galerie;a_regenerer;retina_2x;Version retina x2 du meme visuel. Garder le meme cadrage que la version de base, en plus haute resolution.;Lounge-1.0.0/index.html;1
Lounge-1.0.0;Lounge-1.0.0/images/gallery/gallery-03.jpg;gallery-03.jpg;galerie;a_regenerer;base;Photo de galerie montrant ambiance, salle, detail ou plat pour galerie.;Lounge-1.0.0/index.html;2
Lounge-1.0.0;Lounge-1.0.0/images/gallery/gallery-03@2x.jpg;gallery-03@2x.jpg;galerie;a_regenerer;retina_2x;Version retina x2 du meme visuel. Garder le meme cadrage que la version de base, en plus haute resolution.;Lounge-1.0.0/index.html;1
Lounge-1.0.0;Lounge-1.0.0/images/gallery/gallery-04.jpg;gallery-04.jpg;galerie;a_regenerer;base;Photo de galerie montrant ambiance, salle, detail ou plat pour galerie.;Lounge-1.0.0/index.html;2
Lounge-1.0.0;Lounge-1.0.0/images/gallery/gallery-04@2x.jpg;gallery-04@2x.jpg;galerie;a_regenerer;retina_2x;Version retina x2 du meme visuel. Garder le meme cadrage que la version de base, en plus haute resolution.;Lounge-1.0.0/index.html;1
