template;asset_path;filename;category;action;variant;brief_fr;used_in_files;used_in_count
Lounge-1.0.0;Lounge-1.0.0/images/about-pic-primary.jpg;about-pic-primary.jpg;a-propos;a_regenerer;base;Photo section a propos montrant interieur, equipe ou scene de marque.;Lounge-1.0.0/index.html;2
Lounge-1.0.0;Lounge-1.0.0/images/about-pic-primary@2x.jpg;about-pic-primary@2x.jpg;a-propos;a_regenerer;retina_2x;Version retina x2 du meme visuel. Garder le meme cadrage que la version de base, en plus haute resolution.;Lounge-1.0.0/index.html;1
Lounge-1.0.0;Lounge-1.0.0/images/avatars/user-01.jpg;user-01.jpg;portrait;a_regenerer;base;Portrait photo de portrait equipe, chef ou client.;Lounge-1.0.0/index.html;1
Lounge-1.0.0;Lounge-1.0.0/images/avatars/user-02.jpg;user-02.jpg;portrait;a_regenerer;base;Portrait photo de portrait equipe, chef ou client.;Lounge-1.0.0/index.html;1
Lounge-1.0.0;Lounge-1.0.0/images/avatars/user-03.jpg;user-03.jpg;portrait;a_regenerer;base;Portrait photo de portrait equipe, chef ou client.;Lounge-1.0.0/index.html;1
Lounge-1.0.0;Lounge-1.0.0/images/avatars/user-06.jpg;user-06.jpg;portrait;a_regenerer;base;Portrait photo de portrait equipe, chef ou client.;Lounge-1.0.0/index.html;1
Lounge-1.0.0;Lounge-1.0.0/images/intro-pic-primary.jpg;intro-pic-primary.jpg;a-propos;a_regenerer;base;Photo section a propos montrant interieur, equipe ou scene de marque.;Lounge-1.0.0/index.html;2
Lounge-1.0.0;Lounge-1.0.0/images/intro-pic-primary@2x.jpg;intro-pic-primary@2x.jpg;a-propos;a_regenerer;retina_2x;Version retina x2 du meme visuel. Garder le meme cadrage que la version de base, en plus haute resolution.;Lounge-1.0.0/index.html;1
Lounge-1.0.0;Lounge-1.0.0/images/intro-pic-secondary.jpg;intro-pic-secondary.jpg;a-propos;a_regenerer;base;Photo section a propos montrant interieur, equipe ou scene de marque.;Lounge-1.0.0/index.html;2
Lounge-1.0.0;Lounge-1.0.0/images/intro-pic-secondary@2x.jpg;intro-pic-secondary@2x.jpg;a-propos;a_regenerer;retina_2x;Version retina x2 du meme visuel. Garder le meme cadrage que la version de base, en plus haute resolution.;Lounge-1.0.0/index.html;1
burgerking-main;burgerking-main/img/about.jpg;about.jpg;a-propos;a_regenerer;base;Photo section a propos montrant burger ou street food.;burgerking-main/about.html | burgerking-main/index.html;2
burgerking-main;burgerking-main/img/testimonial-1.jpg;testimonial-1.jpg;portrait;a_regenerer;base;Portrait photo de burger ou street food.;burgerking-main/index.html;1
